Year,Males,Females
,,
1967,630701,265364
1968,696649,340728
1969,738673,381502
1970,793940,418303
1971,789131,415259
1972,810164,462257
1973,833453,508999
1974,856847,568154
1975,891992,613412
1976,904551,672995
1977,891819,677265
1978,879931,695762
1979,862754,709168
1980,874197,747643
1981,866785,750365
1982,860890,739828
1983,865425,753241
1984,856761,767108
1985,856370,794011
1986,867010,838526
1987,863599,856808
1988,864252,874537
1989,879025,917004
1990,904150,955381
1991,930841,988825
1992,941053,1008606
1993,943768,1037076
1994,949785,1066397
1995,941409,1088653
1996,932153,1108419
1997,927496,1124251
1998,923132,1146898
1999,930930,1179316
2000,943501,1213395
2001,956384,1255993
2002,1009726,1344908
2003,1032892,1398225
2004,1047214,1444200
2005,1047054,1476457
2006,1061059,1513509
2007,1088314,1556043
2008,1122272,1614804
2009,1169777,1679638
2010,1209477,1727534
2011,1211264,1722023
2012,1204068,1704772
2013,1201057,1699316
2014,1211151,1703431
2015,1221566,1718926
